date,true_shaped,pred_shaped,true_identity,pred_identity,pair
2019-05-03 16:00:00,-0.9779033,-1.1726197,-0.9779033,-1.8263346,ECL::Autoformer
2019-05-03 17:00:00,-1.0500499,-1.1091357,-1.0500499,-1.787063,ECL::Autoformer
2019-05-03 18:00:00,-1.0031546,-1.0970012,-1.0031546,-1.7389221,ECL::Autoformer
2019-05-03 19:00:00,-1.1023562,-1.1114131,-1.1023562,-1.7104135,ECL::Autoformer
2019-05-03 20:00:00,-1.0374242,-1.1906915,-1.0374242,-1.7717683,ECL::Autoformer
2019-05-03 21:00:00,-1.0464425,-1.3638295,-1.0464425,-1.9006696,ECL::Autoformer
2019-05-03 22:00:00,-1.2448457,-1.5583881,-1.2448457,-1.9197911,ECL::Autoformer
2019-05-03 23:00:00,-1.3386363,-1.6164575,-1.3386363,-1.8686942,ECL::Autoformer
2019-05-04 00:00:00,-1.2376311,-1.6669761,-1.2376311,-1.7547827,ECL::Autoformer
2019-05-04 01:00:00,-1.28633,-1.7220142,-1.28633,-1.8304807,ECL::Autoformer
2019-05-04 02:00:00,-1.4666965,-1.8032136,-1.4666965,-1.918288,ECL::Autoformer
2019-05-04 03:00:00,-1.4919478,-1.8082349,-1.4919478,-1.8898093,ECL::Autoformer
2019-05-04 04:00:00,-1.5153954,-1.7747012,-1.5153954,-1.8366535,ECL::Autoformer
2019-05-04 05:00:00,-1.5352358,-1.7237589,-1.5352358,-1.7330077,ECL::Autoformer
2019-05-04 06:00:00,-1.5135918,-1.6126146,-1.5135918,-1.6122974,ECL::Autoformer
2019-05-04 07:00:00,-1.3891389,-1.4870162,-1.3891389,-1.5505797,ECL::Autoformer
2019-05-04 08:00:00,-1.3278143,-1.3168795,-1.3278143,-1.4847435,ECL::Autoformer
2019-05-04 09:00:00,-1.0338169,-1.0703812,-1.0338169,-1.3629472,ECL::Autoformer
2019-05-04 10:00:00,-0.6965316,-0.64828885,-0.6965316,-1.2171308,ECL::Autoformer
2019-05-04 11:00:00,-0.3051363,-0.26325625,-0.3051363,-1.0523192,ECL::Autoformer
2019-05-04 12:00:00,0.051989377,-0.012378395,0.051989377,-0.95784134,ECL::Autoformer
2019-05-04 13:00:00,0.37664905,0.24795216,0.37664905,-0.86123425,ECL::Autoformer
2019-05-04 14:00:00,0.36943442,0.36138088,0.36943442,-0.8090487,ECL::Autoformer
2019-05-04 15:00:00,0.053793043,0.31571382,0.053793043,-0.81421447,ECL::Autoformer
2019-05-04 16:00:00,0.19628257,0.3557763,0.19628257,-0.77922857,ECL::Autoformer
2019-05-04 17:00:00,0.14397629,0.46945566,0.14397629,-0.67669964,ECL::Autoformer
2019-05-04 18:00:00,0.24317786,0.4820357,0.24317786,-0.5752071,ECL::Autoformer
2019-05-04 19:00:00,0.501102,0.37772596,0.501102,-0.5466597,ECL::Autoformer
2019-05-04 20:00:00,0.52815694,0.14460838,0.52815694,-0.632241,ECL::Autoformer
2019-05-04 21:00:00,0.43617,-0.16942143,0.43617,-0.73243755,ECL::Autoformer
2019-05-04 22:00:00,0.008701419,-0.34640926,0.008701419,-0.75091374,ECL::Autoformer
2019-05-04 23:00:00,-0.42598182,-0.33439553,-0.42598182,-0.73762286,ECL::Autoformer
2019-05-05 00:00:00,-0.6424216,-0.3836347,-0.6424216,-0.65492773,ECL::Autoformer
2019-05-05 01:00:00,-0.89673835,-0.5850862,-0.89673835,-0.80489516,ECL::Autoformer
2019-05-05 02:00:00,-1.0085655,-0.8453762,-1.0085655,-1.0151012,ECL::Autoformer
2019-05-05 03:00:00,-0.96888494,-1.0033146,-0.96888494,-1.1450797,ECL::Autoformer
2019-05-05 04:00:00,-1.0698903,-1.0730907,-1.0698903,-1.203994,ECL::Autoformer
2019-05-05 05:00:00,-1.1420368,-1.1461853,-1.1420368,-1.2417333,ECL::Autoformer
2019-05-05 06:00:00,-1.2358273,-1.1737156,-1.2358273,-1.2378268,ECL::Autoformer
2019-05-05 07:00:00,-1.291741,-1.1570144,-1.291741,-1.1826208,ECL::Autoformer
2019-05-05 08:00:00,-1.3187959,-1.0918994,-1.3187959,-1.054227,ECL::Autoformer
2019-05-05 09:00:00,-0.9779033,-0.95013726,-0.9779033,-0.8578382,ECL::Autoformer
2019-05-05 10:00:00,-0.85525405,-0.62159264,-0.85525405,-0.64065427,ECL::Autoformer
2019-05-05 11:00:00,-0.29070696,-0.30996773,-0.29070696,-0.41209912,ECL::Autoformer
2019-05-05 12:00:00,-0.15723576,-0.15843427,-0.15723576,-0.21967302,ECL::Autoformer
2019-05-05 13:00:00,-0.0057278997,0.045568526,-0.0057278997,-0.05584137,ECL::Autoformer
2019-05-05 14:00:00,-0.039997533,0.1773346,-0.039997533,0.024897814,ECL::Autoformer
2019-05-05 15:00:00,-0.18248707,0.18204272,-0.18248707,0.041867584,ECL::Autoformer
2019-05-05 16:00:00,-0.2167567,0.25371242,-0.2167567,0.10745481,ECL::Autoformer
2019-05-05 17:00:00,-0.106733136,0.36532584,-0.106733136,0.24626583,ECL::Autoformer
2019-05-05 18:00:00,0.15299462,0.37866992,0.15299462,0.37534556,ECL::Autoformer
2019-05-05 19:00:00,0.04116739,0.29279327,0.04116739,0.35211632,ECL::Autoformer
2019-05-05 20:00:00,0.10609932,0.05906117,0.10609932,0.13362968,ECL::Autoformer
2019-05-05 21:00:00,0.14217262,-0.25354606,0.14217262,-0.094572276,ECL::Autoformer
2019-05-05 22:00:00,-0.29611796,-0.44304678,-0.29611796,-0.19930923,ECL::Autoformer
2019-05-05 23:00:00,-0.5720787,-0.5416,-0.5720787,-0.2631287,ECL::Autoformer
2019-05-06 00:00:00,-0.7560525,-0.477621,-0.7560525,-0.026172683,ECL::Autoformer
2019-05-06 01:00:00,-1.0121729,-0.72537017,-1.0121729,-0.19837695,ECL::Autoformer
2019-05-06 02:00:00,-1.1528589,-0.94708145,-1.1528589,-0.42536402,ECL::Autoformer
2019-05-06 03:00:00,-1.1871284,-1.0489613,-1.1871284,-0.60512924,ECL::Autoformer
2019-05-06 04:00:00,-1.1366258,-1.1190014,-1.1366258,-0.7533166,ECL::Autoformer
2019-05-06 05:00:00,-1.1889321,-1.2396363,-1.1889321,-0.9083314,ECL::Autoformer
2019-05-06 06:00:00,-1.226809,-1.3291315,-1.226809,-1.0086132,ECL::Autoformer
2019-05-06 07:00:00,-1.2123797,-1.3463389,-1.2123797,-0.9722885,ECL::Autoformer
2019-05-06 08:00:00,-1.2737043,-1.2660153,-1.2737043,-0.7082515,ECL::Autoformer
2019-05-06 09:00:00,-1.0698903,-1.0279703,-1.0698903,-0.44350788,ECL::Autoformer
2019-05-06 10:00:00,-0.893131,-0.60954875,-0.893131,-0.3045661,ECL::Autoformer
2019-05-06 11:00:00,-0.48550278,-0.22636831,-0.48550278,-0.096592575,ECL::Autoformer
2019-05-06 12:00:00,-0.32136926,-0.018500298,-0.32136926,0.19331911,ECL::Autoformer
2019-05-06 13:00:00,-0.16625407,0.18744135,-0.16625407,0.4735707,ECL::Autoformer
2019-05-06 14:00:00,-0.14280644,0.29277253,-0.14280644,0.6221783,ECL::Autoformer
2019-05-06 15:00:00,-0.19511272,0.32143632,-0.19511272,0.67762357,ECL::Autoformer
2019-05-06 16:00:00,-0.24381167,0.3499693,-0.24381167,0.75153524,ECL::Autoformer
2019-05-06 17:00:00,-0.13739544,0.37332752,-0.13739544,0.82949513,ECL::Autoformer
2019-05-06 18:00:00,-0.036390204,0.31430048,-0.036390204,0.83881867,ECL::Autoformer
2019-05-06 19:00:00,0.014112415,0.15601069,0.014112415,0.6801149,ECL::Autoformer
2019-05-06 20:00:00,-0.11755513,-0.106411785,-0.11755513,0.40890056,ECL::Autoformer
2019-05-06 21:00:00,-0.2059347,-0.34782302,-0.2059347,0.21215183,ECL::Autoformer
2019-05-06 22:00:00,-0.49091378,-0.47065216,-0.49091378,0.12559646,ECL::Autoformer
2019-05-06 23:00:00,-0.80475146,-0.4962725,-0.80475146,0.070803404,ECL::Autoformer
2019-05-07 00:00:00,-0.8624687,-0.6583131,-0.8624687,0.15589635,ECL::Autoformer
2019-05-07 01:00:00,-0.947241,-0.7534979,-0.947241,0.01377742,ECL::Autoformer
2019-05-07 02:00:00,-1.1546625,-0.85740167,-1.1546625,-0.17193708,ECL::Autoformer
2019-05-07 03:00:00,-1.1817174,-0.9374624,-1.1817174,-0.36541998,ECL::Autoformer
2019-05-07 04:00:00,-1.2448457,-1.0135036,-1.2448457,-0.5243607,ECL::Autoformer
2019-05-07 05:00:00,-1.2737043,-1.1204681,-1.2737043,-0.6657072,ECL::Autoformer
2019-05-07 06:00:00,-1.3873352,-1.2031684,-1.3873352,-0.7367592,ECL::Autoformer
2019-05-07 07:00:00,-1.3169923,-1.2055436,-1.3169923,-0.7587205,ECL::Autoformer
2019-05-07 08:00:00,-1.3332253,-1.1132162,-1.3332253,-0.6766878,ECL::Autoformer
2019-05-07 09:00:00,-1.0247986,-0.92296803,-1.0247986,-0.577279,ECL::Autoformer
2019-05-07 10:00:00,-0.7001389,-0.558578,-0.7001389,-0.5560448,ECL::Autoformer
2019-05-07 11:00:00,-0.3357986,-0.13437825,-0.3357986,-0.4515409,ECL::Autoformer
2019-05-07 12:00:00,0.037560057,0.14135282,0.037560057,-0.27424788,ECL::Autoformer
2019-05-07 13:00:00,0.28646582,0.3302529,0.28646582,-0.08352494,ECL::Autoformer
2019-05-07 14:00:00,0.07182969,0.4634009,0.07182969,0.03960384,ECL::Autoformer
2019-05-07 15:00:00,0.026738068,0.6825205,0.026738068,0.40345514,ECL::Autoformer
2018-12-27 12:00:00,-0.11214413,-0.2034657,-0.11214413,-0.11205658,ECL::PatchTST
2018-12-27 13:00:00,-0.003924235,-0.24882218,-0.003924235,-0.040667623,ECL::PatchTST
